id,hash,victim,gang,date,guid,country,sector,TTPS
14330,ebb6759953ba94e6311ed9344e433d06bb6972c854beacdfd5d454333450a6b1,"aerodynamicinc.com$22,6MUSA1.1TB100% DISCLOSED",cactus,"2024-04-17 04:01:50",11d8ffa1c1cb79e22b6d94667d3847d9,USA,Transport,
14329,44323b8cae98057fa2f7c38ade4fbceb8a582bfc53b1b8bb8766337fe5ea3e77,"D&amp;amp;amp;amp;amp;amp;amp;V Electronics",blacksuit,"2024-04-17 01:37:44",33192f6b62911c61d4073ef0f9923420,Canada,Electronics,
14328,5afb8b93bc5b0be4ee1b6837313d83ac58dcb8222afc50cc1628d8c2bd06cccb,rehab.ie,lockbit3,"2024-04-17 01:41:04",fda6baab618b39821b678bd52ff26428,Ireland,Retail,
14327,ab87c4bba1c296e297c6529da0bac1dab1521801db303c7aaf159c3e857c5aa0,"Len Dubois Trucking",bianlian,"2024-04-16 23:58:26",8f48863757fe83ca146cbf93e37b1ab7,Canada,Transport,
14326,4ceb386532b17087a46a983cd881f1f2113bc51633329c85f652d52f4694bcb8,"Pioneer Oil Company, Inc.",bianlian,"2024-04-16 22:59:03",18d3284f148b6cb726b412b7059223ff,USA,hydrocarbon exploration,
14325,8377a941f177a88b82ac5f9f30c86505b3bde45687474998ee05c668607274e8,"Empresa de energía del Bajo Putumayo ",ransomhub,"2024-04-16 21:46:38",085d5d1e61effabc440d74ac51b91d87,Colombia,Energia,
14324,210c12ccc65de05c843f737dea3f7355e87cdfc79503814d2f1e77785d67fb4c,"besttrans.com$24.8MUSA24GB100% DISCLOSED",cactus,"2024-04-16 21:58:31",8be57c24680317c02843631b253179d8,USA,Transportation,
14323,2752d187562eeb1c278e3e05c366e81942cd0a5296866da8b3a9c75ee05b08a7,"Lopesan Hotels",ransomhouse,"2024-04-16 21:01:41",3131a4cd22542b79134fe80f69f5b6ca,Spain,Hotels,
14322,001164029a5042888109508ad123a8bcc02ffcca67eb3696f5512a90de9762b8,"regencyfurniture.com$369MUSA300GB100% DISCLOSED",cactus,"2024-04-16 19:59:24",d3ddedd999aa150f47c2d0a55cb17898,USA,Retail,
14321,d3216babeed4d8e0604aae5c22296993a1a005fecf87a87c75aaa32698b37dbe,"Medequip Assistive Technology",akira,"2024-04-16 17:48:03",08fcb5ead4e963a6f0bbdbc971f4a3ee,UK,Health,
14320,770addd60cc7e0e7dff75a0eae933745204dff37c576bc5be9443e450662f91e,"Wright Brothers Construction",akira,"2024-04-16 17:48:08",33edf41c0becd0d57c35c4e27276617b,USA,Construction,
14319,3248eec74719fa4c35d598a84afded521587e3533aec5ea66f3f5fb66ad126c3,"UPC Technology Corporation",blacksuit,"2024-04-16 17:49:17",51b2e138a07e3570fb7147311365a5eb,Taiwan,Technologies,
14318,e50b352f901caf64d84fe0a4b49714b3621fdbd9eaa42b668bc94f5a0cdfd305,"Change HealthCare - OPTUM Group - United HealthCare Group - FOR SALE",ransomhub,"2024-04-16 17:53:37",a15f9896c1b92e7adc7d0232afb30816,USA,Healthcare,
14317,674c154fc902aa24fdf9865bb64187952ab5b226c72e86369fc47080332c457e,"Studio LAMBDA",akira,"2024-04-16 15:42:58",b36fd154dd0df788b77b7cfe39200ba3,Italy,Construction,Healthcare,
14316,2ea8bcdcc2452bd1b89bc9e2d9d331427cb61efd92cf20e56a860a6f792300bf,"Lotz Trucking",akira,"2024-04-16 15:43:03",cd2018beeece5fb0a71a96308e567bde,USA,Road transport,
14315,0f0ff22ecec249bb7e9a3a6a7cde928f18687be56c1c68e7b32b2d158ed2a776,hbmolding.com,lockbit3,"2024-04-16 15:04:16",1aaa7438a59157a0f21ad30dda4d4088,USA,Manufacturing,
14314,6bfa5b4c5c6c7f1b456a08f0d162e80a70639bebaab76faf068e19cf4c6eaa04,"City of St. Cloud, Florida",hunters,"2024-04-16 13:55:13",8a6cb96eabdd2be1fe1e8bf4043d385f,USA,Local administrations,
14313,3b81a8d5c020277c574832c36c5daeb6ca333a717489455ab3615eae23fadfaa,"mcalvain.com$199MUSA175GB100% DISCLOSED",cactus,"2024-04-16 12:01:05",6a6caa12c63ac1c2f2b7d967b512887d,USA,Construccion,
14312,308f425ab1ecdae877e617dbd5947fd14e5d65f7258bf2c302192575dc813ac3,"Grupo Cuevas",ransomhub,"2024-04-16 11:51:29",ef6fe50336005eee1e8e9093bfe576ae,Spain,Food and drinks businesses,
14311,9312c1790ce2d6991b6edcb7051beedc621e4dad90b1cf749fd7ad2be833d3a2,"Thermodyn Corporation",medusa,"2024-04-16 09:52:31",bfe6c14c945256de12a6add92c83b4d9,USA,Manufacturing,
14310,aef1fafdff9cda2ec7ccd9dfcef119bffae3d2d3ef8f76449f824f151d345c97,"[UPDATE] Robeson County Sheriff's Office ",ransomhub,"2024-04-16 09:44:02",231d831a778dc5cb0bd16b330a547cba,USA,Sheriff's department,
14309,177d20183a0a96d885deb01c703aed43fa03da8e920aa969564e09bde824100d,"regulatormarine.com$28.1MUSA630GB&lt;1% DISCLOSED",cactus,"2024-04-16 07:59:57",5364de2e6064f4d8a13c960b970b9f24,USA,Unknown,
14308,70c3e4ff3b60b05aa74e68ac2254c77e43b6ba4b57965468caf2e40691216a92,"St. Cloud Florida",hunters,"2024-04-16 07:44:20",717fb24cc33821afb4bcd529696cdfce,USA,Retail,
14307,5f9fbfdb3e0eaf70883e6bdde9bbed502aa82a1e6f2609823ca32d76bec84d46,Po****sa,raworld,"2024-04-16 03:25:14",380714d486fbd50c0c9dfc7e4d8be9f7,"Non Disponibile",Unknown,
14306,c968427d3ce59ceac3a3c1b23dd0488830c7cc4b815b434d4894f07b2ea02295,charlesparsons,raworld,"2024-04-16 03:26:38",89ea5cb67579289ce2b6a46c42e30424,Australia,Manufacturing,
14305,28d303bc2b2ef1698fd3ef6de1ec538cdd61de8656c4a3f91cdd0a1876d53e15,Autoglass,raworld,"2024-04-16 03:27:45",d0a17b281c3e4eaef6718d891e38cb42,UK,Automotive,
14304,106bb1dff2cc82464a806caf1c0898a236989cfaaebeac64525ea2ebd5494a0e,UnivationTechnologies,raworld,"2024-04-16 03:29:10",9c9744d143d2abbe041317b7b76f8e85,USA,Retail,
14303,4f5182789f8f4d03801f7b2a04c161cedf536f80465657b65d1b3eae3d7bb2c1,"Cembell Industries",qilin,"2024-04-16 01:22:02",ff12b08dbcd163de643a3f597b14c6e4,USA,Manufacturing,
14302,a823ac78522572c0404f899386909b7b6571ab80fb93aef0f59dc117de91f32a,"Heritage Cooperative",play,"2024-04-15 23:21:18",65be44ae7088566069cc3bef454174a7,USA,Agriculture and agribusiness,
14301,cfdd48e8053743028f5a4c2ab49d6b5598a6f7e8cba09db24a4f0b1765c3976c,"Fullington Trailways",dragonforce,"2024-04-15 21:22:51",901e70da072bc616caa6337421abe4ae,USA,Transport,
14300,56e645943139414d386aef56ea2974145aebdbdf98af7d48497d9a707702daba,"Chicony Electronics",hunters,"2024-04-15 21:23:27",f0cd63afa3dd55eb9f7857db09d52ce3,Taiwan,Manufacturing,
14299,e4518c5264bc16d956d2a7203b3f4554505ad734d6051f4cc66da4ee9729d4ea,"Pulaski academy",incransom,"2024-04-15 21:24:24",59c3a5e4aab2b411b56805200085e4c2,USA,Education,
14298,428ea1cd5d3ba019111e00dd17817dfcf4072f461584e699d8ef7f030ebe85cc,"Druckman Law Group",incransom,"2024-04-15 21:24:58",56de534cf589f6d0ca09630db803ba00,USA,Legal consulting,
14297,a84cafc847e60a17f7024b3a651a13ac12f77c5a5fb569a2dfc6e8c6f4b236f1,regulatormarine.com,cactus,"2024-04-15 19:18:57",32f57c0fa63af22a58598d1e0583ece9,USA,Manufacturing,
14296,4230213a9828734ad9f0b2f1fe48ee70e37f4c59ad76c82a01381f41b2e1fba0,bigtoe.yoga,darkvault,"2024-04-15 19:20:07",dc5631bb775757e5ae1e430034ad1a21,USA,Sports,
